City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Souillac,MU,-20.5167,57.5167,70.18,73,40,14.97,light rain
306,Santa Rosa,PH,14.3122,121.1114,81.01,83,100,5.86,overcast clouds
307,Praia Da Vitoria,PT,38.7333,-27.0667,80.85,61,20,1.43,few clouds
308,Blyth,GB,55.1271,-1.5086,63.09,72,75,8.05,broken clouds
309,Fairbanks,US,64.8378,-147.7164,57.81,71,75,5.75,broken clouds
310,Musetesti,RO,45.15,23.4667,84.63,36,0,7.02,clear sky
311,Ranong,TH,9.9658,98.6348,76.93,92,100,9.15,moderate rain
312,Ternate,ID,0.8,127.4,79.77,79,100,3.2,overcast clouds
313,Bam,IR,29.106,58.357,95.9,12,14,4.7,few clouds
314,Jiayuguan,CN,39.8167,98.3,68.2,26,1,7.61,clear sky
315,Necochea,AR,-38.5473,-58.7368,51.64,39,77,10.87,broken clouds
316,Bandundu,CD,-3.3167,17.3667,88.68,37,39,4.0,scattered clouds
317,Portales,US,34.1862,-103.3344,89.1,25,39,9.42,scattered clouds
318,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,100,100,2.24,light rain
319,Brownsville,US,25.9018,-97.4975,94.08,56,40,25.32,scattered clouds
320,Vitim,RU,59.4511,112.5578,62.1,75,92,1.45,overcast clouds
321,Sambava,MG,-14.2667,50.1667,69.17,85,97,12.77,light rain
322,Port Alfred,ZA,-33.5906,26.891,54.18,89,0,6.02,clear sky
323,Seddon,AU,-37.8068,144.8916,47.14,87,5,5.66,clear sky
324,Panevezys,LT,55.7333,24.35,76.1,73,19,3.09,few clouds
325,Coihaique,CL,-45.5752,-72.0662,37.35,60,75,4.61,broken clouds
326,Honiara,SB,-9.4333,159.95,76.26,85,21,3.85,few clouds
327,Kinna,SE,57.5073,12.6946,89.74,50,100,6.67,overcast clouds
328,Leningradskiy,RU,69.3833,178.4167,33.48,99,100,12.97,light snow
329,Seoul,KR,37.5683,126.9778,74.64,94,75,4.61,broken clouds
330,Natal,BR,-5.795,-35.2094,84.42,65,75,13.8,broken clouds
331,Alofi,NU,-19.0595,-169.9187,64.29,100,6,3.44,clear sky
332,Pisco,PE,-13.7,-76.2167,66.02,77,75,6.91,broken clouds
333,Chissamba,AO,-12.1667,17.3333,70.23,28,23,2.42,few clouds
334,Lebu,CL,-37.6167,-73.65,53.04,80,89,5.99,moderate rain
335,Lukh,RU,57.0124,42.2584,60.93,88,49,5.01,scattered clouds
336,Linkou,CN,45.3,130.2833,63.82,95,5,2.35,clear sky
337,Itarantim,BR,-15.6597,-40.0656,79.57,50,62,8.14,broken clouds
338,Yar-Sale,RU,66.8333,70.8333,46.29,80,100,5.82,overcast clouds
339,Hobyo,SO,5.3505,48.5268,76.41,81,81,26.62,broken clouds
340,Baruun-Urt,MN,46.6806,113.2792,71.8,45,55,11.92,broken clouds
341,El Tigre,VE,8.8875,-64.2454,87.04,53,36,10.45,scattered clouds
342,Zaplavnoye,RU,48.7048,45.0229,73.0,38,62,8.16,broken clouds
343,Marsh Harbour,BS,26.5412,-77.0636,83.5,71,9,11.54,clear sky
344,Sigmaringen,DE,48.0833,9.2167,81.07,50,22,6.33,few clouds
